E0, Erec, Ee', pex, pey, pez, Ep, ppx, ppy, ppz 
3.88099,2.21308,2.16411,0.541006,-0.50282,2.03417,0.987245,0.196463,-0.0143701,0.235573
4.94478,4.90382,4.14383,1.0844,0.123266,3.99752,1.69827,-1.06469,-0.121492,0.9249
1.86355,1.82169,1.62744,0.0771755,-0.459603,1.55929,1.13252,-0.087549,0.556486,0.291376
1.66502,1.62312,1.51639,-0.414586,-0.0582498,1.45745,1.04501,0.445957,0.0709229,0.0882131
2.05198,1.50209,1.34162,-0.431849,-0.371803,1.21458,1.09875,0.173598,-0.292931,0.459292
3.20834,3.16636,2.57199,-0.668229,0.675008,2.39018,1.53264,0.658611,-0.748351,0.68908
2.06437,2.02105,1.72501,-0.442327,-0.25672,1.64746,1.23431,0.433565,0.320132,0.593887
2.73196,1.84073,1.67953,-0.354068,-0.317947,1.61071,1.09947,0.221156,-0.0584233,0.525505
1.43401,1.39293,1.28626,0.00607724,-0.432879,1.21121,1.04495,0.00676645,0.423755,0.178738
1.44412,1.24947,1.17282,0.618553,-0.0569724,0.994818,1.01491,-0.220878,-0.0722508,0.309336
3.33078,3.12447,1.97784,0.627632,-0.408043,1.83069,2.0849,-0.718961,0.43834,1.66054
2.67242,2.63025,2.24881,0.74477,-0.0562113,2.12116,1.31971,-0.656428,0.139614,0.641016
1.70261,1.66146,1.42068,-0.0664366,0.565266,1.30169,1.17905,0.0636757,-0.592882,0.392728
2.12124,2.00577,1.89972,0.195474,0.648379,1.77492,1.04432,-0.0573743,-0.375914,0.256206
2.15871,2.11614,1.88278,0.349278,-0.373311,1.81205,1.17163,-0.305705,0.519803,0.35875
3.2942,2.14858,2.05613,0.623473,-0.028308,1.95912,1.03071,-0.158098,-0.359264,-0.167188
2.02983,1.98862,1.75551,0.0505011,-0.559382,1.66324,1.17138,-0.0543971,0.585467,0.382164
1.71646,1.67515,1.58788,-0.439655,-0.0471927,1.52507,1.02554,0.399444,0.0524698,0.0952679
1.91003,1.43903,1.1512,0.319164,0.354571,1.0477,1.2261,-0.413305,-0.236737,0.629365
2.67604,2.26569,1.44922,0.696264,0.284591,1.23873,1.75474,-0.805438,-0.543837,1.11995
1.78871,1.42769,1.30121,0.440714,-0.0463606,1.22343,1.06475,0.213854,0.407044,0.204765
1.30816,1.2663,1.14852,0.130612,-0.36953,1.07958,1.05605,-0.18308,0.324756,0.309683
2.70438,2.37635,1.8643,-0.602135,0.162335,1.7569,1.45032,0.607829,-0.197917,0.902473
2.35313,2.31156,2.0935,-0.40673,-0.401582,2.01397,1.15633,0.394534,0.473728,0.276903
5.45164,4.61029,3.33074,0.712829,-0.856864,3.13871,2.21782,-0.0207469,0.674018,1.89305
2.59321,2.51126,2.21939,0.516717,-0.491698,2.10165,1.23014,-0.62887,0.454404,0.175874
1.71463,1.64513,1.55007,-0.271455,-0.329429,1.49013,1.03333,0.428535,0.0281429,0.0546104
3.72303,2.0269,1.70065,0.478054,0.564728,1.53126,1.26451,-0.25591,-0.377102,0.714805
1.64679,1.60295,1.26675,-0.348376,0.425567,1.14113,1.27447,0.552109,-0.362586,0.554645
1.88454,1.67238,1.54398,-0.348059,-0.208387,1.48974,1.06667,0.271281,0.260546,0.340508
5.50231,3.04221,1.71927,0.555404,0.322144,1.59488,2.26121,-0.352651,-0.489298,1.96696
2.23127,1.59705,1.43562,0.0255007,-0.47485,1.35457,1.09971,0.281656,0.349098,0.357488
3.03959,2.44058,2.34763,0.621692,0.23692,2.25138,1.03123,-0.35077,0.183709,0.162138
2.87797,2.83392,2.17086,-0.0861088,0.873171,1.98565,1.60133,0.324478,-0.904684,0.871882
1.78063,1.73866,1.53232,0.467321,0.10905,1.45524,1.14462,-0.540288,-0.189913,0.319094
2.08132,1.35122,1.22737,0.0818694,-0.511835,1.11254,1.06212,0.11039,0.0225888,0.484828
